t,foil_u_g0,foil_u_g1,foil_u_g2,foil_v_g0,foil_v_g1,foil_v_g2,foil_w_g0,foil_w_g1,foil_w_g2,foil_p_MW_g0,foil_p_MW_g1,foil_p_MW_g2
0,1,1,0,0,1,0,0,0,0,400.0,400.0,0.0
1,1,1,0,0,0,0,0,0,0,480.0,300.0,0.0
2,1,1,0,0,0,0,0,0,0,500.0,260.0,0.0
3,1,1,0,0,0,0,0,0,0,500.0,250.0,0.0
4,1,1,0,0,0,0,0,0,0,500.0,205.0,0.0
5,1,1,0,0,0,0,0,0,0,475.0,150.0,0.0
6,1,0,0,0,0,0,0,1,0,467.84455223781964,0.0,0.0
7,1,0,0,0,0,0,0,0,0,367.8445522385911,0.0,0.0
8,1,0,0,0,0,0,0,0,0,267.844552239699,0.0,0.0
9,1,0,0,0,0,0,0,0,0,189.9999995800398,0.0,0.0
10,1,0,0,0,0,0,0,0,0,225.0,0.0,0.0
11,1,0,0,0,0,0,0,0,0,242.5,0.0,0.0
12,1,0,0,0,0,0,0,0,0,325.0,0.0,0.0
13,1,0,0,0,0,0,0,0,0,370.0,0.0,0.0
14,1,0,0,0,0,0,0,0,0,417.5,0.0,0.0
15,1,1,0,0,1,0,0,0,0,415.0,150.0,0.0
16,1,1,0,0,0,0,0,0,0,500.0,190.0,0.0
17,1,1,0,0,0,0,0,0,0,500.0,270.0,0.0
18,1,1,0,0,0,0,0,0,0,500.0,360.0,0.0
19,1,1,0,0,0,0,0,0,0,500.0,385.0,0.0
20,1,1,0,0,0,0,0,0,0,500.0,410.0,0.0
21,1,1,0,0,0,0,0,0,0,500.0,370.0,0.0
22,1,1,0,0,0,0,0,0,0,500.0,340.0,0.0
23,1,1,0,0,0,0,0,0,0,500.0,320.0,0.0
