s,r,t,pR_MW,curt_MW
0,0,0,0.0,0.0
0,0,1,0.0,0.0
0,0,2,0.0,0.0
0,0,3,0.0,0.0
0,0,4,65.0,0.0
0,0,5,195.0,0.0
0,0,6,390.0,0.0
0,0,7,585.0,0.0
0,0,8,748.0,32.0
0,0,9,890.0,20.0
0,0,10,975.0,0.0
0,0,11,1007.5,0.0
0,0,12,975.0,0.0
0,0,13,910.0,0.0
0,0,14,757.0,55.5
0,0,15,585.0,0.0
0,0,16,390.0,0.0
0,0,17,260.0,0.0
0,0,18,130.0,0.0
0,0,19,65.0,0.0
0,0,20,0.0,0.0
0,0,21,0.0,0.0
0,0,22,0.0,0.0
0,0,23,0.0,0.0
1,0,0,0.0,0.0
1,0,1,0.0,0.0
1,0,2,0.0,0.0
1,0,3,0.0,0.0
1,0,4,65.0,0.0
1,0,5,195.0,0.0
1,0,6,390.0,0.0
1,0,7,585.0,0.0
1,0,8,755.0,25.0
1,0,9,910.0,0.0
1,0,10,975.0,0.0
1,0,11,1007.5,0.0
1,0,12,975.0,0.0
1,0,13,910.0,0.0
1,0,14,810.0,2.5
1,0,15,585.0,0.0
1,0,16,390.0,0.0
1,0,17,260.0,0.0
1,0,18,130.0,0.0
1,0,19,65.0,0.0
1,0,20,0.0,0.0
1,0,21,0.0,0.0
1,0,22,0.0,0.0
1,0,23,0.0,0.0
2,0,0,0.0,0.0
2,0,1,0.0,0.0
2,0,2,0.0,0.0
2,0,3,0.0,0.0
2,0,4,65.0,0.0
2,0,5,195.0,0.0
2,0,6,390.0,0.0
2,0,7,585.0,0.0
2,0,8,762.0,18.0
2,0,9,910.0,0.0
2,0,10,975.0,0.0
2,0,11,1007.5,0.0
2,0,12,975.0,0.0
2,0,13,910.0,0.0
2,0,14,805.0,7.5
2,0,15,585.0,0.0
2,0,16,390.0,0.0
2,0,17,260.0,0.0
2,0,18,130.0,0.0
2,0,19,65.0,0.0
2,0,20,0.0,0.0
2,0,21,0.0,0.0
2,0,22,0.0,0.0
2,0,23,0.0,0.0
