t,pi_plus_base,pi_plus_star,delta_plus,pi_minus_base,pi_minus_star,delta_minus,abs_delta_plus,abs_delta_minus
0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
1,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
2,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
3,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
4,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
5,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
6,100.0,100.00000000000203,2.0321522242738865e-12,100.0,17.59529242835723,-82.40470757164277,2.0321522242738865e-12,82.40470757164277
7,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
8,100.0,77.40470762148587,-22.59529237851413,100.0,100.0,0.0,22.59529237851413,0.0
9,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
10,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
11,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
12,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
13,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
14,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
15,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
16,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
17,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
18,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
19,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
20,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
21,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
22,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
23,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0
